assignment,composer,title,genre,youtube_url
1a,Anonymous,Agnus Dei,Chant,https://youtu.be/6KF_dfuDOyc
1a,Anonymous,Haec Dies,Chant,https://youtu.be/-irKRiYnP8I
1a,Thomas Aquinas,Pange lingua gloriosi mysterium,Hymn,https://youtu.be/U-AsvDn87fo
1a,Hildegard of Bingen,O eterne deus,Chant,https://youtu.be/sC-OjxeW8xc
1b,Leonin,Viderunt Omnes,two-part organum,https://youtu.be/_p9WQlyVPrA
1b,Perotinus,Viderunt Omnes,four-part organum,https://youtu.be/KA6oq_UYbyA
1b,Guillaume de Machaut,Fera pessima / O livoris feritas / Fons totius,Motet,https://youtu.be/vcM35785Peo
2a,Bernart de Ventadorn,"Can vei la lauzeta mover,",Troubador Song,https://youtu.be/OK2qe4g2i20
2a,Comtessa de Dia,A chantar m’er de so qu’eu no volria,Troubador Song,https://youtu.be/lsRqvTnciUA?list=OLAK5uy_nLPHa2LIVnVInxlUla7CpEOuNNOa8kNK8
2a,Guillaume de Machaut,"Dame, de qui toute ma joie vient",Chanson,https://youtu.be/u65rzEfxbqA
2a,Anonymous,"La quinte estampie real"" estampie",Estampie,https://youtu.be/AyrggAG8aMY
2b,Guillaume de Machaut,Sanctus,Polyphonic Mass,https://youtu.be/EVzLLtB6KRU
2b,Josquin de Prez,Sanctus,Polyphonic Mass,https://youtu.be/KhUFNWKU_W4
2b,Giovani Perligui da Palestrina,Sanctus,Polyphonic Mass,https://youtu.be/O3HLzfnzBL0
3a,Josquin de Prez,Ave Maria Virgo Serena,Motet,https://youtu.be/xGkb5KFwx1I
3a,Jacques Arcadet,Il bianco e dolce signo,Madrigal,https://youtu.be/GUH11wqPRfU
3a,John farmer,Fair Phyllis,Madrigal,https://youtu.be/D46R1Te0_VY